"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"152","AMHARa","Mota","February","2019","37.8807432","11.07475582","7.50","-"
"153","AMHARa","Debre- markos ","February","2019","37.72636868","10.33641293","7.00","-"
"154","AMHARa","Dembecha","February","2019","37.48251554","10.56669266","6.79","-"
"155","AMHARa","Bahir- Dar ","February","2019","37.3815488","11.58416449","8.54","-"
"156","AMHARa","Sekota","February","2019","39.03355257","12.62479803","8.82","-"
"157","AMHARa","Amde Work ","February","2019","38.85815043","12.45920199","9.80","-"
"158","AMHARa","Danigla","February","2019","36.83153176","11.25223153","6.25","-"
"159","AMHARa","Chagni","February","2019","36.50793596","10.95196565","6.50","-"
"160","AMHARa","Kemise","February","2019","39.85696873","10.71374234","8.06","-"
"161","AMHARa","Bati","February","2019","40.0181327","11.19153266","8.26","-"
"162","AMHARa","Mota","January","2019","37.8807432","11.07475582","7.50","-"
"163","AMHARa","Debre- markos ","January","2019","37.72636868","10.33641293","7.00","-"
"164","AMHARa","Dembecha","January","2019","37.48251554","10.56669266","6.79","-"
"165","AMHARa","Bahir- Dar ","January","2019","37.3815488","11.58416449","8.00","-"
"166","AMHARa","Sekota","January","2019","39.03355257","12.62479803","8.45","-"
"167","AMHARa","Amde Work ","January","2019","38.85815043","12.45920199","10.32","-"
"168","AMHARa","Danigla","January","2019","36.83153176","11.25223153","6.00","-"
"169","AMHARa","Chagni","January","2019","36.50793596","10.95196565","6.40","-"
"170","AMHARa","Kemise","January","2019","39.85696873","10.71374234","9.92","-"
"171","AMHARa","Bati","January","2019","40.0181327","11.19153266","8.24","-"
"172","AMHARa","Mota","July","2018","37.8807432","11.07475582","7.50","-"
"173","AMHARa","Debre- markos ","July","2018","37.72636868","10.33641293","8.00","-"
"174","AMHARa","Dembecha","July","2018","37.48251554","10.56669266","7.54","-"
"175","AMHARa","Bahir- Dar ","July","2018","37.3815488","11.58416449","10.00","-"
"176","AMHARa","Sekota","July","2018","39.03355257","12.62479803","8.99","-"
"177","AMHARa","Amde Work ","July","2018","38.85815043","12.45920199","-","-"
"178","AMHARa","Danigla","July","2018","36.83153176","11.25223153","7.00","-"
"179","AMHARa","Chagni","July","2018","36.50793596","10.95196565","7.75","-"
"180","AMHARa","Kemise","July","2018","39.85696873","10.71374234","9.14","-"
"181","AMHARa","Bati","July","2018","40.0181327","11.19153266","8.76","-"
"182","AMHARa","Mota","March","2019","37.8807432","11.07475582","7.50","-"
"183","AMHARa","Debre- markos ","March","2019","37.72636868","10.33641293","6.90","-"
"184","AMHARa","Dembecha","March","2019","37.48251554","10.56669266","6.25","-"
"185","AMHARa","Bahir- Dar ","March","2019","37.3815488","11.58416449","8.50","-"
"186","AMHARa","Sekota","March","2019","39.03355257","12.62479803","8.79","-"
"187","AMHARa","Amde Work ","March","2019","38.85815043","12.45920199","9.87","-"
"188","AMHARa","Danigla","March","2019","36.83153176","11.25223153","6.10","-"
"189","AMHARa","Chagni","March","2019","36.50793596","10.95196565","6.30","-"
"190","AMHARa","Kemise","March","2019","39.85696873","10.71374234","8.61","-"
"191","AMHARa","Bati","March","2019","40.0181327","11.19153266","8.28","-"
"192","AMHARa","Mota","May","2019","37.8807432","11.07475582","8.00","-"
"193","AMHARa","Debre- markos ","May","2019","37.72636868","10.33641293","8.00","-"
"194","AMHARa","Dembecha","May","2019","37.48251554","10.56669266","7.29","-"
"195","AMHARa","Bahir- Dar ","May","2019","37.3815488","11.58416449","9.49","-"
"196","AMHARa","Sekota","May","2019","39.03355257","12.62479803","10.35","-"
"197","AMHARa","Amde Work ","May","2019","38.85815043","12.45920199","9.88","-"
"198","AMHARa","Danigla","May","2019","36.83153176","11.25223153","7.20","-"
"199","AMHARa","Chagni","May","2019","36.50793596","10.95196565","7.00","-"
